"country","confederation","population_share","tv_audience_share","gdp_weighted_share","popularity"
"unitedstates","concacaf",4.5,4.3,11.3,0.955555555555555
"japan","afc",1.9,4.9,9.1,2.57894736842105
"china","afc",19.5,14.8,7.3,0.758974358974359
"germany","uefa",1.2,2.9,6.3,2.41666666666667
"brazil","conmebol",2.8,7.1,5.4,2.53571428571429
"unitedkingdom","uefa",0.9,2.1,4.2,2.33333333333333
"italy","uefa",0.9,2.1,4,2.33333333333333
"france","uefa",0.9,2,4,2.22222222222222
"russia","uefa",2.1,3.1,3.5,1.47619047619048
"spain","uefa",0.7,1.8,3.1,2.57142857142857
"southkorea","afc",0.7,1.8,3,2.57142857142857
"indonesia","afc",3.5,6.7,2.9,1.91428571428571
"mexico","concacaf",1.7,3.2,2.6,1.88235294117647
"turkey","uefa",1.1,2.3,2,2.09090909090909
"thailand","afc",1,2.4,1.6,2.4
"argentina","conmebol",0.6,1.5,1.6,2.5
"netherlands","uefa",0.2,0.6,1.5,3
"poland","uefa",0.6,1.2,1.3,2
"saudiarabia","afc",0.4,0.5,1.2,1.25
"taiwan","afc",0.3,0.5,1,1.66666666666667
"canada","concacaf",0.5,0.5,1,1
"colombia","conmebol",0.7,1.6,0.9,2.28571428571429
"venezuela","conmebol",0.4,1,0.9,2.5
"southafrica","caf",0.7,1.3,0.8,1.85714285714286
"malaysia","afc",0.4,0.7,0.7,1.75
"switzerland","uefa",0.1,0.3,0.7,3
"nigeria","caf",2.3,2.6,0.7,1.1304347826087
"belgium","uefa",0.2,0.3,0.7,1.5
"sweden","uefa",0.1,0.3,0.7,3
"vietnam","afc",1.3,2.6,0.6,2
"iran","afc",1.1,0.7,0.6,0.636363636363636
"chile","conmebol",0.3,0.6,0.6,2
"romania","uefa",0.3,0.7,0.6,2.33333333333333
"austria","uefa",0.1,0.3,0.6,3
"singapore","afc",0.1,0.2,0.6,2
"australia","afc",0.3,0.3,0.5,1
"greece","uefa",0.2,0.3,0.5,1.5
"portugal","uefa",0.2,0.4,0.5,2
"india","afc",17.6,2,0.5,0.113636363636364
"czechrepublic","uefa",0.2,0.3,0.5,1.5
"egypt","caf",1.1,0.8,0.5,0.727272727272727
"denmark","uefa",0.1,0.2,0.5,2
"norway","uefa",0.1,0.1,0.4,1
"peru","conmebol",0.4,0.8,0.4,2
"ukraine","uefa",0.7,0.9,0.4,1.28571428571429
"iraq","afc",0.5,0.5,0.4,1
